location_id,source_type,status,failure_reason,address_type,name,display_name,latitude,longitude,house_number,road,neighbourhood,suburb,county,city,state,ISO3166-2-lvl4,postcode,country,country_code
704,restaurant,success,,commercial,Bank of Aamerica,"Bank of Aamerica, 1100, 6th Avenue, Manhattan Community Board 5, Manhattan, New York County, City of New York, New York, 10019, United States",40.754873700000005,-73.98344593656489,1100,6th Avenue,Manhattan Community Board 5,Manhattan,New York County,City of New York,New York,US-NY,10019,United States,us
705,restaurant,success,,fast_food,Pret A Manger,"Pret A Manger, 2, Park Avenue, Manhattan Community Board 5, Manhattan, New York County, City of New York, New York, 10016, United States",40.7462142,-73.9822961,2,Park Avenue,Manhattan Community Board 5,Manhattan,New York County,City of New York,New York,US-NY,10016,United States,us
706,restaurant,success,,yes,,"1164, Broadway, Manhattan Community Board 5, Manhattan, New York County, City of New York, New York, 10001, United States",40.7448222,-73.98863333653847,1164,Broadway,Manhattan Community Board 5,Manhattan,New York County,City of New York,New York,US-NY,10001,United States,us
707,restaurant,success,,house,,"413, Greenwich Street, Lower Manhattan, Manhattan, New York County, City of New York, New York, 10013, United States",40.7213423,-74.0097743,413,Greenwich Street,,Manhattan,New York County,City of New York,New York,US-NY,10013,United States,us
708,restaurant,success,,house,,"413, Greenwich Street, Lower Manhattan, Manhattan, New York County, City of New York, New York, 10013, United States",40.7213423,-74.0097743,413,Greenwich Street,,Manhattan,New York County,City of New York,New York,US-NY,10013,United States,us
709,restaurant,success,,yes,,"97, Kenmare Street, University Village, Manhattan, New York County, City of New York, New York, 10012, United States",40.7214707,-73.99703583608107,97,Kenmare Street,University Village,Manhattan,New York County,City of New York,New York,US-NY,10012,United States,us
710,restaurant,success,,social_facility,The Roosevelt Hotel,"The Roosevelt Hotel, 45, East 45th Street, Manhattan Community Board 5, Manhattan, New York County, City of New York, New York, 10017, United States",40.75483305,-73.9771941025636,45,East 45th Street,Manhattan Community Board 5,Manhattan,New York County,City of New York,New York,US-NY,10017,United States,us
711,restaurant,success,,yes,,"16, Spring Street, University Village, Manhattan, New York County, City of New York, New York, 10012, United States",40.721251699999996,-73.99494773232163,16,Spring Street,University Village,Manhattan,New York County,City of New York,New York,US-NY,10012,United States,us
712,restaurant,success,,hairdresser,Fellow Barber,"Fellow Barber, 101, North 8th Street, Williamsburg, Brooklyn, Kings County, City of New York, New York, 11249, United States",40.7198324,-73.95907063606941,101,North 8th Street,,Brooklyn,Kings County,City of New York,New York,US-NY,11249,United States,us
713,restaurant,success,,yes,,"149-18, 41st Avenue, Murray Hill, Queens, Queens County, City of New York, New York, 11355, United States",40.76208215,-73.81508678526336,149-18,41st Avenue,Murray Hill,Queens,Queens County,City of New York,New York,US-NY,11355,United States,us
714,restaurant,success,,platform,116th Street-Columbia University,"116th Street-Columbia University, Broadway, Manhattan Community Board 9, Manhattan, New York County, City of New York, New York, 10115, United States",40.807778049999996,-73.96395599821108,,Broadway,Manhattan Community Board 9,Manhattan,New York County,City of New York,New York,US-NY,10115,United States,us
715,restaurant,success,,house,,"6, East 18th Street, Manhattan Community Board 5, Manhattan, New York County, City of New York, New York, 10003, United States",40.7381636,-73.9912584,6,East 18th Street,Manhattan Community Board 5,Manhattan,New York County,City of New York,New York,US-NY,10003,United States,us
716,restaurant,success,,yes,,"228, Bleecker Street, University Village, Manhattan, New York County, City of New York, New York, 10014, United States",40.7300228,-74.00251369316939,228,Bleecker Street,University Village,Manhattan,New York County,City of New York,New York,US-NY,10014,United States,us
717,restaurant,success,,residential,Munson Building,"Munson Building, 67, Wall Street, Whitehall, Manhattan, New York County, City of New York, New York, 10005, United States",40.70557595,-74.0083673218775,67,Wall Street,Whitehall,Manhattan,New York County,City of New York,New York,US-NY,10005,United States,us
718,restaurant,success,,yes,,"38, East 23rd Street, Manhattan Community Board 5, Manhattan, New York County, City of New York, New York, 10010, United States",40.7403531,-73.9874239806355,38,East 23rd Street,Manhattan Community Board 5,Manhattan,New York County,City of New York,New York,US-NY,10010,United States,us
719,restaurant,success,,yes,,"32, Gansevoort Street, Manhattan, New York County, City of New York, New York, 10014, United States",40.7392235,-74.00587226398568,32,Gansevoort Street,,Manhattan,New York County,City of New York,New York,US-NY,10014,United States,us
720,restaurant,success,,yes,,"1498, 3rd Avenue, Manhattan Community Board 8, Manhattan, New York County, City of New York, New York, 10028, United States",40.777968200000004,-73.95496450555103,1498,3rd Avenue,Manhattan Community Board 8,Manhattan,New York County,City of New York,New York,US-NY,10028,United States,us
721,restaurant,success,,fast_food,Pret A Manger,"Pret A Manger, 1, Astor Place, University Village, Manhattan, New York County, City of New York, New York, 10003, United States",40.7300533,-73.9920475,1,Astor Place,University Village,Manhattan,New York County,City of New York,New York,US-NY,10003,United States,us
722,restaurant,success,,apartments,,"347, Bowery, Manhattan Community Board 3, Manhattan, New York County, City of New York, New York, 10003, United States",40.726431700000006,-73.99138167677327,347,Bowery,Manhattan Community Board 3,Manhattan,New York County,City of New York,New York,US-NY,10003,United States,us
